Fecha,Confirmados,Alta Medica,Sospechosos,Descartados,Muertos,Activos
27/03/2020,3,0,29,30,0,3
28/03/2020,3,0,32,35,0,3
29/03/2020,4,0,34,35,0,4
31/03/2020,4,0,46,38,0,4
1/04/2020,4,0,61,38,0,4
2/04/2020,5,0,63,51,0,5
3/04/2020,5,0,72,63,0,5
4/04/2020,6,0,90,65,0,6
5/04/2020,9,0,76,81,0,9
6/04/2020,12,0,91,86,0,12
7/04/2020,13,0,105,90,0,13
8/04/2020,14,0,129,101,0,14
9/04/2020,14,0,88,157,0,14
10/04/2020,15,0,86,173,0,15
11/04/2020,20,0,102,183,0,20
12/04/2020,21,3,97,203,0,18
13/04/2020,21,3,122,225,0,18
14/04/2020,23,3,131,22,0,20
15/04/2020,28,3,140,268,0,25
16/04/2020,31,5,162,282,0,26
17/04/2020,31,5,146,323,0,26
18/04/2020,33,10,171,323,0,23
19/04/2020,36,11,148,373,0,25
20/04/2020,38,11,181,380,0,27
21/04/2020,40,11,161,455,0,29
22/04/2020,,,,,,0
23/04/2020,47,11,160,540,0,36
24/04/2020,49,15,135,598,0,34
25/04/2020,50,15,157,633,0,35
26/04/2020,50,16,139,666,0,34
27/04/2020,50,16,150,699,0,34
28/04/2020,51,16,178,711,0,35
29/04/2020,52,19,138,787,0,33
30/04/2020,53,20,140,823,0,33
1/05/2020,53,21,133,872,0,32
2/05/2020,54,21,86,922,0,33
3/05/2020,54,21,106,956,0,33
4/05/2020,54,22,98,980,0,32
5/05/2020,54,27,82,1023,0,27
6/05/2020,54,30,59,1084,0,24
7/05/2020,54,37,62,1119,1,16
8/05/2020,54,39,58,1146,1,14
9/05/2020,54,39,41,1194,1,14
10/05/2020,54,39,55,1212,1,14
11/05/2020,55,41,62,1249,1,13
12/05/2020,56,41,80,1268,2,13
13/05/2020,59,41,50,1338,2,16
14/05/2020,60,47,77,1373,2,11
15/05/2020,60,48,73,1423,2,10
16/05/2020,62,48,63,1477,2,12
17/05/2020,62,48,80,1506,2,12
18/05/2020,66,48,72,1552,2,16
19/05/2020,67,48,91,1581,3,16
20/05/2020,69,48,91,1637,4,17
21/05/2020,71,48,100,1693,4,19
22/05/2020,83,49,126,1729,4,30
23/05/2020,97,49,94,1781,4,44
24/05/2020,99,50,128,1815,5,44
25/05/2020,105,51,132,1870,6,48
26/05/2020,114,51,145,1927,7,56
27/05/2020,130,51,110,2018,7,72
28/05/2020,139,52,158,2067,8,79
29/05/2020,142,52,159,2123,8,82
30/05/2020,146,55,145,2225,8,83
31/05/2020,156,57,119,2302,8,91
1/06/2020,169,57,152,2335,8,104
2/06/2020,181,57,157,2425,8,116
3/06/2020,186,62,203,2477,8,116
4/06/2020,200,64,167,2596,8,128
5/06/2020,210,66,186,2652,8,136
6/06/2020,217,66,260,2692,8,143
7/06/2020,225,66,220,2781,9,150
8/06/2020,228,70,282,2808,10,148